Id,LotArea,HouseStyle,OverallCond,YearBuilt,BedroomAbvGr,SalePrice
1,8450,2Story,5,2003,3,208500
2,9600,1Story,8,1976,3,181500
3,11250,2Story,5,2001,3,223500
4,9550,2Story,5,1915,3,140000
5,14260,2Story,5,2000,4,250000
6,14115,1.5Fin,5,1993,1,143000
7,10084,1Story,5,2004,3,307000
8,10382,2Story,6,1973,3,200000
9,6120,1.5Fin,5,1931,2,129900
10,7420,1.5Unf,6,1939,2,118000
11,11200,1Story,5,1965,3,129500
12,11924,2Story,5,2005,4,345000
13,12968,1Story,6,1962,2,144000
14,10652,1Story,5,2006,3,279500
15,10920,1Story,5,1960,2,157000
16,6120,1.5Unf,8,1929,2,132000
17,11241,1Story,7,1970,2,149000
18,10791,1Story,5,1967,2,90000
19,13695,1Story,5,2004,3,159000
20,7560,1Story,6,1958,3,139000
21,14215,2Story,5,2005,4,325300
22,7449,1.5Unf,7,1930,3,139400
23,9742,1Story,5,2002,3,230000
24,4224,1Story,7,1976,3,129900
25,8246,1Story,8,1968,3,154000
26,14230,1Story,5,2007,3,256300
27,7200,1Story,7,1951,3,134800
28,11478,1Story,5,2007,3,306000
29,16321,1Story,6,1957,2,207500
30,6324,1Story,6,1927,1,68500
31,8500,2Story,4,1920,3,40000
32,8544,1Story,6,1966,3,149350
33,11049,1Story,5,2007,3,179900
34,10552,1Story,5,1959,4,165500
35,7313,1Story,5,2005,2,277500
36,13418,2Story,5,2004,4,309000
37,10859,1Story,5,1994,3,145000
38,8532,1Story,6,1954,3,153000
39,7922,1Story,7,1953,3,109000
40,6040,1Story,5,1955,2,82000
41,8658,1Story,5,1965,3,160000
42,16905,1Story,6,1959,2,170000
43,9180,SFoyer,7,1983,2,144000
44,9200,1Story,6,1975,3,130250
45,7945,1Story,6,1959,3,141000
46,7658,1Story,5,2005,2,319900
47,12822,1.5Fin,5,2003,1,239686
48,11096,1Story,5,2006,3,249700
49,4456,2Story,5,1920,2,113000
50,7742,1Story,7,1966,3,127000
51,13869,2Story,6,1997,3,177000
52,6240,1.5Fin,6,1934,3,114500
53,8472,1Story,5,1963,2,110000
54,50271,1Story,5,1981,0,385000
55,7134,SLvl,5,1955,3,130000
56,10175,1Story,5,1964,3,180500
57,2645,2Story,5,1999,3,172500
58,11645,2Story,5,2004,3,196500
59,13682,2Story,5,2006,3,438780
60,7200,1Story,7,1972,2,124900
61,13072,1Story,5,2004,3,158000
62,7200,2.5Unf,7,1920,3,101000
63,6442,1Story,5,2006,2,202500
64,10300,2Story,6,1921,3,140000
65,9375,2Story,5,1997,3,219500
66,9591,2Story,5,2004,4,317000
67,19900,1Story,5,1970,3,180000
68,10665,1Story,5,2003,3,226000
69,4608,1Story,6,1945,2,80000
70,15593,1.5Fin,4,1953,3,225000
71,13651,1Story,6,1973,3,244000
72,7599,1Story,6,1982,2,129500
73,10141,2Story,5,1998,3,185000
74,10200,1Story,7,1954,3,144900
75,5790,2Story,6,1915,3,107400
76,1596,SLvl,5,1973,2,91000
77,8475,1Story,7,1956,2,135750
78,8635,1.5Fin,5,1948,2,127000
79,10778,1Story,5,1968,4,136500
80,10440,2Story,6,1910,2,110000
81,13000,2Story,6,1968,4,193500
82,4500,1Story,5,1998,2,153500
83,10206,1Story,5,2007,3,245000
84,8892,1Story,5,1960,3,126500
85,8530,SLvl,5,1995,3,168500
86,16059,2Story,5,1991,4,260000
87,11911,2Story,5,2005,3,174000
88,3951,2Story,5,2009,2,164500
89,8470,1.5Fin,2,1915,2,85000
90,8070,1Story,5,1994,3,123600
91,7200,1Story,5,1950,2,109900
92,8500,1Story,3,1961,2,98600
93,13360,1Story,7,1921,2,163500
94,7200,2.5Unf,6,1910,4,133900
95,9337,2Story,5,1997,3,204750
96,9765,2Story,8,1993,3,185000
97,10264,1Story,5,1999,3,214000
